Timestamp,Omega S-Type - Ox Tank Mass,PT-2 Ox Tank,PT-3 CC,Thrust,dP
7.72346,35.814637,628.189536,272.4634,691.386982,355.726136
7.753979,35.966898,645.576548,267.3542,751.755668,378.222348
7.769532,35.383729,645.026324,259.320969,740.069036,385.705355
7.785272,34.913015,628.975565,284.080931,774.65414,344.894634
7.800847,35.929081,638.34506,275.843331,750.093976,362.501729
7.831514,35.372782,644.806237,265.876463,786.048571,378.929774
7.846437,34.711991,631.946765,276.928054,749.947893,355.018711
7.861565,35.44941,650.44994,270.545484,714.175898,379.904456
7.892781,35.422541,645.214972,262.638018,738.425609,382.576954
7.907668,35.21057,649.585305,261.490412,745.291501,388.094893
7.922714,34.890126,616.226139,275.82761,716.659295,340.398529
7.953889,35.431497,637.88916,272.589163,695.824244,365.299997
7.9694,35.099111,640.703154,251.586429,686.584508,389.116725
7.984918,35.196637,636.317099,266.693935,725.095557,369.623164
8.001041,34.67915,668.434335,245.565434,737.202166,422.868901
8.032826,35.325014,621.461108,279.993572,722.42957,341.467536
8.048767,34.876193,634.446345,268.816219,736.124805,365.630126
8.063759,34.722937,628.236697,274.035461,728.729365,354.201236
8.095322,34.79857,611.667159,282.210178,788.093748,329.456981
8.111266,34.540822,624.086453,253.064166,676.322204,371.022287
8.126768,34.957797,616.650596,254.809153,679.042998,361.841443
8.142897,34.554754,645.372178,234.906859,738.662998,410.465319
8.173872,34.343778,645.372178,239.465837,763.277933,405.906341
8.189049,35.157826,636.945924,266.096552,726.446835,370.849372
8.203961,34.666213,631.758117,261.050235,673.272733,370.707882
8.235162,34.23829,627.859402,262.433649,728.985024,365.425753
8.251021,34.451256,636.175611,266.190875,704.972672,369.984736
8.266951,34.739855,618.002571,271.048545,672.688392,346.954026
8.283124,34.330841,620.580753,258.456334,691.60611,362.124419
8.314112,34.346764,628.456788,262.653738,727.085958,365.80305
8.329601,34.67716,631.443706,266.992627,698.015474,364.451079
8.345119,34.737865,634.35202,251.099088,717.718385,383.252932
8.375228,34.208435,631.003527,270.121028,702.836213,360.882499
8.390646,34.272126,628.881242,266.961185,718.156634,361.920057
8.405991,34.693082,618.867207,279.631998,728.583292,339.235209
8.421177,34.332831,617.735323,261.820545,720.621779,355.914778
8.45209,34.727913,610.047934,274.491357,722.867798,335.556577
8.467429,33.787479,630.264658,266.04939,714.413265,364.215268
8.482977,34.012387,624.196497,251.429222,731.83364,372.767275
8.513852,34.536841,611.195539,278.908848,722.210431,332.286691
8.530008,33.877044,631.915324,267.165552,716.531478,364.749772
8.545277,34.401498,636.128451,260.311366,709.994273,375.817085
8.561124,34.186542,623.724879,257.984716,693.724299,365.740163
8.591561,34.227344,631.192174,239.434396,673.491852,391.757778
8.606962,34.049208,639.712754,241.996856,703.14665,397.715898
8.622817,34.048213,621.461108,263.895665,702.690136,357.565443
8.653576,33.805392,627.419225,255.390816,725.734677,372.028409
8.668794,33.781508,599.074939,264.681697,697.558979,334.393242
8.68394,34.073092,626.475987,265.452007,706.415245,361.02398
8.714119,33.742697,623.567672,258.251966,708.350837,365.315706
8.729829,34.024329,612.154499,283.892283,677.801294,328.262216
8.745226,33.858136,607.64268,281.424148,708.149977,326.218532
8.760056,33.181422,613.412147,265.750697,700.973659,347.66145
8.791361,34.194503,607.202501,252.734033,697.997223,354.468468
8.806649,33.613325,628.503949,270.891337,703.840528,357.612612
8.821632,33.172465,609.010374,264.178637,727.615485,344.831737
8.852744,33.699904,639.461224,243.804726,720.055707,395.656498
8.86757,33.218243,610.425231,267.715774,684.009796,342.709457
8.882814,33.739711,644.271734,255.406536,727.451149,388.865198
